Transaction Description,Category,Price (₹)
Car Loan Payment,Loans,4078.23
Software License,Technology,4583.49
Car Maintenance,Utilities,4993.2
Online Course,Education,3694.44
McDonald's,Food & Drinks,144.18
Gym Equipment,Health & Fitness,4572.52
Gas Station,Transportation,3482.79
Medical Checkup,Health,3118.15
Concert Ticket,Entertainment,1842.04
Home Rent,Housing,3273.77
Home Rent,Housing,4333.09
Home Rent,Housing,675.65
Gym Membership,Health & Fitness,1453.4
Electricity Bill,Utilities,616.42
Medical Checkup,Health,553.63
Theater Ticket,Entertainment,681.01
Clothing Store,Shopping,1975.98
Theater Ticket,Entertainment,3075.66
Electric Scooter Rental,Transportation,1191.96
Gym Membership,Health & Fitness,454.55
Uber Ride,Transportation,4927.3
Restaurant Dinner,Food & Drinks,4571.19
Public Transport Pass,Transportation,2512.8
Cloud Storage Subscription,Technology,4350.34
Spotify Premium,Entertainment,1594.49
Flight Ticket,Travel,4451.76
Amazon Purchase,Shopping,4062.09
Movie Ticket,Entertainment,2226.36
Doctor Visit,Health,1805.83
Online Course,Education,3632.89
Pharmacy,Health,4775.75
Car Wash,Utilities,1429.1
Home Appliance Purchase,Shopping,3938.2
Public Transport Pass,Transportation,2503.58
Home Appliance Purchase,Shopping,3396.91
Doctor Visit,Health,3806.03
Restaurant Dinner,Food & Drinks,4527.52
Software License,Technology,4303.98
Medical Checkup,Health,2229.24
Gym Membership,Health & Fitness,749.42
Car Maintenance,Utilities,3449.23
Phone Bill,Utilities,1945.84
Public Transport Pass,Transportation,3648.5
Gym Equipment,Health & Fitness,4865.59
Flight Ticket,Travel,2566.3
Car Maintenance,Utilities,1315.3
Car Wash,Utilities,3434.92
Hotel Booking,Travel,2932.27
Taxi Fare,Transportation,4643.95
Spotify Premium,Entertainment,4641.19
Gaming Subscription,Entertainment,3368.82
Electricity Bill,Utilities,1398.55
Medical Checkup,Health,404.85
Doctor Visit,Health,3424.08
Bike Servicing,Utilities,3669.21
Insurance Payment,Insurance,3061.58
